back,dos,train
buffer_overflow,u2r,train
ftp_write,r2l,train
guess_passwd,r2l,train
imap,r2l,train
ipsweep,probe,train
land,dos,train
loadmodule,u2r,train
multihop,r2l,train
neptune,dos,train
nmap,probe,train
perl,u2r,train
phf,r2l,train
pod,dos,train
portsweep,probe,train
rootkit,u2r,train
satan,probe,train
smurf,dos,train
spy,r2l,train
teardrop,dos,train
warezclient,r2l,train
warezmaster,r2l,train
normal,normal_,train
unknown,unknown_,train
apache2,dos,test
mailbomb,dos,test
udpstorm,dos,test
processtable,dos,test
mscan,probe,test
saint,probe,test
sendmail,r2l,test
named,r2l,test
snmpgetattack,r2l,test
snmpguess,r2l,test
xlock,r2l,test
xsnoop,r2l,test
worm,r2l,test
httptunnel,u2r,test
ps,u2r,test
sqlattack,u2r,test 
xterm,u2r,test
