back,DOS,train
buffer_overflow,U2R,train
ftp_write,R2L,train
guess_passwd,R2L,train
imap,R2L,train
ipsweep,PROBE,train
land,DOS,train
loadmodule,U2R,train
multihop,R2L,train
neptune,DOS,train
nmap,PROBE,train
perl,U2R,train
phf,R2L,train
pod,DOS,train
portsweep,PROBE,train
rootkit,U2R,train
satan,PROBE,train
smurf,DOS,train
spy,R2L,train
teardrop,DOS,train
warezclient,R2L,train
warezmaster,R2L,train
normal,NORMAL,train
unknown,UNKNOWN,train
apache2,DOS,test
mailbomb,DOS,test
udpstorm,DOS,test
processtable,DOS,test
mscan,PROBE,test
saint,PROBE,test
sendmail,R2L,test
named,R2L,test
snmpgetattack,R2L,test
snmpguess,R2L,test
xlock,R2L,test
xsnoop,R2L,test
worm,R2L,test
httptunnel,U2R,test
ps,U2R,test
sqlattack,U2R,test 
xterm,U2R,test
